ScoreAfter10Overs,WicketsLost,RunRate,Last5OversRuns,Venue,PitchType,BattingTeam,DewPresent,FinalScore
101,4,10.1,52,Delhi,Slow,MI,1,199
78,6,7.8,35,Bangalore,Slow,DC,0,130
101,0,10.1,65,Bangalore,Green,RCB,1,240
55,1,5.5,29,Mumbai,Slow,DC,0,140
72,0,7.2,46,Delhi,Turning,SRH,1,168
52,1,5.2,46,Delhi,Flat,SRH,1,179
45,2,4.5,39,Delhi,Slow,SRH,0,127
73,2,7.3,47,Delhi,Flat,KKR,1,206
96,5,9.6,30,Delhi,Green,SRH,0,157
95,4,9.5,56,Chennai,Flat,DC,1,203
104,1,10.4,23,Bangalore,Slow,RCB,0,187
86,2,8.6,44,Bangalore,Slow,RCB,0,191
47,5,4.7,54,Chennai,Turning,MI,0,132
50,6,5.0,21,Mumbai,Green,CSK,0,76
61,3,6.1,62,Chennai,Green,KKR,1,177
92,1,9.2,58,Kolkata,Flat,MI,1,228
48,2,4.8,56,Delhi,Slow,DC,0,140
76,0,7.6,64,Bangalore,Flat,SRH,0,228
99,5,9.9,43,Chennai,Turning,CSK,1,172
107,0,10.7,47,Bangalore,Slow,DC,0,215
67,5,6.7,53,Bangalore,Slow,KKR,1,175
79,2,7.9,35,Chennai,Turning,KKR,0,156
104,4,10.4,59,Delhi,Turning,CSK,1,209
86,1,8.6,51,Mumbai,Turning,RCB,1,192
80,4,8.0,20,Kolkata,Green,CSK,0,129
97,3,9.7,55,Mumbai,Slow,DC,1,201
47,0,4.7,38,Mumbai,Slow,DC,0,137
92,3,9.2,55,Kolkata,Turning,KKR,1,183
103,2,10.3,39,Bangalore,Green,CSK,0,182
60,5,6.0,54,Mumbai,Green,MI,1,146
81,0,8.1,32,Bangalore,Green,RCB,0,172
46,5,4.6,54,Mumbai,Turning,CSK,0,126
82,5,8.2,28,Delhi,Flat,CSK,1,163
106,3,10.6,41,Mumbai,Flat,RCB,1,217
53,3,5.3,51,Chennai,Flat,MI,0,183
83,0,8.3,35,Chennai,Slow,SRH,0,177
93,3,9.3,48,Bangalore,Slow,RCB,0,201
57,6,5.7,33,Mumbai,Turning,DC,0,90
75,1,7.5,55,Chennai,Green,CSK,1,181
105,2,10.5,22,Mumbai,Turning,DC,1,170
103,0,10.3,63,Mumbai,Turning,DC,0,219
59,4,5.9,34,Mumbai,Turning,MI,0,108
66,6,6.6,39,Kolkata,Turning,KKR,0,116
83,5,8.3,45,Bangalore,Slow,KKR,0,168
50,3,5.0,40,Kolkata,Turning,CSK,0,110
47,6,4.7,63,Bangalore,Flat,MI,1,179
101,2,10.1,31,Kolkata,Slow,DC,1,164
105,2,10.5,46,Bangalore,Turning,DC,0,204
65,2,6.5,46,Delhi,Turning,DC,1,163
49,3,4.9,25,Bangalore,Turning,RCB,0,122
96,6,9.6,52,Chennai,Slow,KKR,0,163
91,4,9.1,51,Delhi,Flat,MI,1,215
61,2,6.1,48,Delhi,Flat,CSK,0,188
65,2,6.5,55,Chennai,Slow,CSK,0,177
59,3,5.9,27,Mumbai,Slow,DC,1,129
79,3,7.9,50,Delhi,Green,KKR,0,166
69,4,6.9,52,Mumbai,Flat,RCB,1,195
109,2,10.9,20,Bangalore,Turning,SRH,1,178
64,3,6.4,54,Delhi,Turning,RCB,1,165
86,6,8.6,32,Mumbai,Slow,MI,1,135
85,5,8.5,50,Delhi,Slow,DC,0,164
49,1,4.9,52,Kolkata,Turning,CSK,1,137
103,0,10.3,29,Delhi,Green,CSK,1,196
78,2,7.8,59,Delhi,Flat,RCB,1,243
85,5,8.5,65,Delhi,Flat,SRH,0,200
81,1,8.1,25,Delhi,Flat,DC,0,176
66,5,6.6,39,Chennai,Flat,RCB,0,157
90,2,9.0,47,Mumbai,Green,SRH,1,188
68,1,6.8,31,Chennai,Slow,SRH,0,142
63,1,6.3,49,Bangalore,Slow,RCB,0,194
104,2,10.4,63,Kolkata,Green,CSK,1,233
89,4,8.9,39,Delhi,Turning,KKR,1,150
94,6,9.4,50,Chennai,Green,KKR,1,170
82,5,8.2,38,Chennai,Slow,RCB,0,156
51,4,5.1,51,Bangalore,Green,SRH,1,133
69,4,6.9,36,Mumbai,Flat,DC,0,157
101,0,10.1,57,Bangalore,Green,CSK,1,220
98,1,9.8,32,Mumbai,Turning,SRH,1,185
66,2,6.6,50,Bangalore,Turning,CSK,1,179
54,1,5.4,34,Delhi,Turning,CSK,1,117
78,4,7.8,27,Delhi,Turning,DC,1,131
93,6,9.3,60,Bangalore,Flat,DC,0,209
48,4,4.8,55,Bangalore,Green,DC,0,144
104,5,10.4,39,Delhi,Flat,MI,0,215
49,2,4.9,51,Chennai,Flat,MI,0,172
103,2,10.3,62,Kolkata,Slow,SRH,0,226
98,5,9.8,26,Delhi,Slow,RCB,0,164
92,1,9.2,48,Delhi,Green,RCB,0,204
92,4,9.2,61,Bangalore,Flat,KKR,1,221
60,6,6.0,49,Chennai,Green,DC,0,109
87,1,8.7,28,Kolkata,Green,CSK,0,159
72,6,7.2,34,Bangalore,Green,SRH,0,116
63,1,6.3,54,Bangalore,Green,CSK,0,161
46,2,4.6,35,Kolkata,Turning,CSK,0,106
51,1,5.1,46,Kolkata,Flat,DC,0,173
102,6,10.2,43,Kolkata,Flat,KKR,0,209
50,5,5.0,62,Kolkata,Turning,KKR,0,123
106,6,10.6,45,Delhi,Flat,KKR,1,194
55,2,5.5,58,Mumbai,Flat,MI,1,205
86,3,8.6,58,Kolkata,Turning,KKR,1,173
59,6,5.9,61,Kolkata,Green,KKR,1,162
74,3,7.4,41,Delhi,Slow,KKR,0,152
99,2,9.9,62,Bangalore,Turning,MI,1,205
56,6,5.6,25,Chennai,Slow,CSK,1,109
61,4,6.1,23,Kolkata,Turning,DC,0,98
90,6,9.0,62,Delhi,Flat,RCB,1,216
58,4,5.8,52,Mumbai,Green,DC,1,140
58,2,5.8,55,Bangalore,Flat,RCB,0,212
99,6,9.9,55,Kolkata,Flat,SRH,1,191
68,2,6.8,64,Bangalore,Turning,RCB,0,179
63,4,6.3,62,Delhi,Flat,MI,0,182
72,3,7.2,46,Delhi,Turning,MI,1,153
86,6,8.6,56,Kolkata,Flat,CSK,0,182
51,5,5.1,25,Bangalore,Slow,DC,1,108
101,3,10.1,37,Mumbai,Flat,RCB,1,207
81,5,8.1,63,Kolkata,Slow,SRH,1,166
73,3,7.3,58,Chennai,Flat,MI,1,222
72,6,7.2,28,Bangalore,Turning,RCB,0,107
108,5,10.8,47,Mumbai,Green,KKR,0,186
90,0,9.0,45,Chennai,Slow,CSK,1,209
54,6,5.4,40,Kolkata,Slow,SRH,1,124
98,2,9.8,27,Delhi,Flat,RCB,0,211
103,6,10.3,64,Bangalore,Flat,KKR,0,220
100,4,10.0,45,Kolkata,Flat,KKR,1,219
88,1,8.8,41,Mumbai,Flat,SRH,0,207
110,1,11.0,42,Bangalore,Green,MI,0,198
77,1,7.7,31,Kolkata,Green,DC,0,139
108,3,10.8,56,Kolkata,Slow,DC,1,223
85,1,8.5,48,Chennai,Slow,KKR,1,201
80,4,8.0,23,Bangalore,Flat,RCB,1,175
49,0,4.9,43,Bangalore,Flat,DC,0,183
109,3,10.9,49,Kolkata,Flat,KKR,0,221
105,4,10.5,29,Chennai,Slow,CSK,1,172
55,4,5.5,61,Mumbai,Flat,MI,1,192
65,2,6.5,43,Bangalore,Slow,KKR,1,173
51,6,5.1,60,Bangalore,Flat,RCB,0,180
94,2,9.4,36,Kolkata,Green,RCB,0,181
63,2,6.3,39,Delhi,Green,SRH,0,134
93,5,9.3,41,Mumbai,Flat,DC,1,194
91,0,9.1,43,Bangalore,Green,MI,1,217
107,1,10.7,34,Mumbai,Green,CSK,1,205
57,4,5.7,54,Kolkata,Flat,DC,1,189
61,4,6.1,44,Mumbai,Green,MI,0,150
101,0,10.1,46,Bangalore,Green,KKR,1,223
102,1,10.2,54,Mumbai,Turning,KKR,0,203
101,3,10.1,38,Delhi,Slow,MI,0,192
62,6,6.2,36,Chennai,Slow,RCB,0,131
60,2,6.0,25,Mumbai,Turning,KKR,0,132
100,0,10.0,34,Delhi,Turning,CSK,1,170
95,4,9.5,43,Mumbai,Slow,CSK,1,171
48,2,4.8,26,Bangalore,Green,MI,0,114
105,5,10.5,28,Delhi,Slow,SRH,0,167
55,0,5.5,36,Mumbai,Green,SRH,1,135
81,1,8.1,39,Chennai,Flat,MI,1,207
103,0,10.3,27,Delhi,Flat,DC,0,214
63,2,6.3,47,Chennai,Turning,MI,1,143
55,4,5.5,43,Chennai,Flat,KKR,1,147
94,2,9.4,36,Chennai,Turning,CSK,1,157
58,6,5.8,57,Bangalore,Green,CSK,1,148
88,6,8.8,61,Mumbai,Slow,DC,1,188
68,6,6.8,28,Chennai,Slow,CSK,1,106
50,6,5.0,32,Chennai,Turning,RCB,1,113
105,2,10.5,22,Mumbai,Turning,RCB,0,181
87,2,8.7,27,Bangalore,Slow,KKR,1,181
94,2,9.4,31,Delhi,Slow,RCB,1,192
55,5,5.5,47,Chennai,Slow,SRH,0,127
82,2,8.2,26,Chennai,Turning,DC,1,133
102,4,10.2,65,Delhi,Green,DC,1,202
102,0,10.2,42,Kolkata,Slow,RCB,0,197
96,2,9.6,52,Mumbai,Flat,MI,1,220
61,0,6.1,35,Bangalore,Turning,KKR,0,154
64,5,6.4,48,Bangalore,Turning,KKR,0,142
62,4,6.2,43,Delhi,Turning,DC,1,125
59,0,5.9,31,Delhi,Slow,SRH,0,135
78,5,7.8,48,Mumbai,Turning,DC,1,143
60,1,6.0,24,Delhi,Green,DC,1,116
85,5,8.5,42,Chennai,Turning,RCB,0,158
67,6,6.7,43,Kolkata,Green,CSK,0,136
62,1,6.2,51,Chennai,Turning,SRH,1,156
61,4,6.1,25,Chennai,Turning,KKR,1,110
97,6,9.7,46,Kolkata,Flat,MI,1,205
54,3,5.4,49,Kolkata,Turning,MI,0,147
61,3,6.1,52,Chennai,Flat,SRH,0,169
66,1,6.6,40,Mumbai,Turning,SRH,1,164
55,2,5.5,32,Kolkata,Turning,MI,1,132
56,4,5.6,61,Mumbai,Green,MI,1,175
50,6,5.0,21,Chennai,Flat,DC,1,117
71,6,7.1,56,Delhi,Flat,KKR,1,191
83,3,8.3,35,Delhi,Turning,KKR,0,156
52,1,5.2,48,Delhi,Slow,KKR,0,151
63,2,6.3,65,Bangalore,Turning,KKR,0,188
92,4,9.2,55,Chennai,Turning,MI,1,169
79,3,7.9,35,Mumbai,Flat,CSK,1,199
94,6,9.4,59,Delhi,Green,MI,1,199
85,1,8.5,30,Delhi,Slow,KKR,1,171
47,0,4.7,45,Kolkata,Slow,MI,0,157
90,0,9.0,23,Bangalore,Slow,SRH,1,167
46,6,4.6,26,Delhi,Green,RCB,1,108
96,2,9.6,22,Delhi,Flat,SRH,0,177
81,0,8.1,44,Kolkata,Slow,SRH,1,196
60,1,6.0,26,Delhi,Turning,RCB,1,147
63,1,6.3,58,Kolkata,Slow,SRH,0,160
49,1,4.9,65,Bangalore,Slow,SRH,1,170
110,1,11.0,40,Kolkata,Turning,MI,1,204
83,4,8.3,41,Kolkata,Slow,DC,1,160
47,2,4.7,41,Chennai,Slow,SRH,1,143
48,4,4.8,50,Bangalore,Green,DC,0,136
106,1,10.6,53,Kolkata,Slow,MI,0,204
59,1,5.9,21,Delhi,Turning,KKR,0,116
71,3,7.1,52,Kolkata,Slow,DC,0,170
62,4,6.2,33,Kolkata,Turning,DC,1,120
93,2,9.3,31,Delhi,Turning,SRH,1,165
78,4,7.8,50,Mumbai,Green,RCB,1,168
83,6,8.3,38,Mumbai,Slow,RCB,1,155
80,2,8.0,27,Kolkata,Slow,KKR,1,170
63,2,6.3,22,Bangalore,Flat,RCB,1,175
77,5,7.7,50,Mumbai,Green,SRH,1,172
79,1,7.9,26,Kolkata,Green,MI,0,157
73,5,7.3,34,Chennai,Flat,KKR,1,168
105,0,10.5,63,Mumbai,Flat,SRH,0,255
105,3,10.5,61,Mumbai,Turning,RCB,1,224
52,6,5.2,25,Kolkata,Green,SRH,0,99
67,3,6.7,31,Chennai,Slow,KKR,0,148
82,0,8.2,20,Bangalore,Flat,RCB,1,197
108,1,10.8,52,Delhi,Turning,MI,0,205
65,5,6.5,49,Bangalore,Green,CSK,1,159
82,4,8.2,63,Mumbai,Green,SRH,1,196
99,4,9.9,40,Chennai,Slow,DC,0,157
62,3,6.2,40,Mumbai,Flat,RCB,1,176
102,6,10.2,37,Bangalore,Turning,SRH,0,145
91,5,9.1,35,Chennai,Flat,KKR,1,171
96,5,9.6,52,Bangalore,Flat,DC,1,209
73,1,7.3,28,Delhi,Green,KKR,1,149
105,6,10.5,54,Mumbai,Green,DC,0,182
102,4,10.2,65,Bangalore,Flat,SRH,0,222
109,1,10.9,56,Kolkata,Green,MI,1,237
101,0,10.1,63,Mumbai,Slow,CSK,1,245
52,3,5.2,28,Kolkata,Slow,KKR,0,119
104,5,10.4,39,Chennai,Slow,RCB,0,184
72,4,7.2,24,Chennai,Slow,RCB,0,132
52,0,5.2,50,Chennai,Turning,KKR,0,160
62,6,6.2,61,Delhi,Turning,KKR,1,160
93,3,9.3,25,Kolkata,Green,DC,1,138
67,4,6.7,45,Kolkata,Green,DC,0,150
45,6,4.5,21,Bangalore,Slow,DC,1,92
93,6,9.3,34,Mumbai,Slow,RCB,0,152
69,5,6.9,27,Chennai,Slow,SRH,0,105
71,0,7.1,26,Kolkata,Flat,KKR,0,169
50,3,5.0,48,Mumbai,Green,CSK,0,138
82,1,8.2,56,Bangalore,Turning,MI,1,212
63,5,6.3,53,Mumbai,Slow,RCB,1,150
67,5,6.7,63,Delhi,Slow,CSK,1,184
93,6,9.3,53,Bangalore,Slow,KKR,0,173
93,1,9.3,54,Delhi,Green,MI,1,219
63,6,6.3,49,Chennai,Slow,KKR,0,132
76,2,7.6,33,Bangalore,Flat,KKR,1,177
69,0,6.9,37,Delhi,Flat,CSK,0,197
72,3,7.2,33,Bangalore,Turning,CSK,0,151
69,5,6.9,27,Delhi,Green,DC,0,110
75,4,7.5,40,Bangalore,Slow,KKR,1,155
78,2,7.8,52,Delhi,Slow,CSK,1,193
85,1,8.5,43,Bangalore,Slow,CSK,0,193
63,0,6.3,36,Kolkata,Slow,RCB,0,155
87,1,8.7,44,Kolkata,Green,KKR,1,178
107,5,10.7,61,Delhi,Slow,MI,1,201
62,5,6.2,54,Delhi,Green,SRH,0,141
49,6,4.9,24,Chennai,Flat,KKR,0,124
74,0,7.4,65,Mumbai,Flat,MI,1,237
52,4,5.2,60,Kolkata,Slow,DC,1,139
45,4,4.5,55,Delhi,Flat,CSK,1,170
81,0,8.1,52,Delhi,Green,CSK,0,190
64,1,6.4,32,Kolkata,Turning,RCB,1,158
95,0,9.5,43,Delhi,Slow,SRH,0,201
73,2,7.3,63,Chennai,Flat,CSK,1,211
93,4,9.3,50,Chennai,Flat,DC,0,186
108,6,10.8,47,Bangalore,Flat,SRH,0,198
72,6,7.2,64,Kolkata,Slow,RCB,0,187
54,5,5.4,37,Kolkata,Flat,MI,1,136
71,4,7.1,29,Delhi,Flat,RCB,0,168
75,4,7.5,44,Kolkata,Turning,KKR,0,155
55,4,5.5,42,Chennai,Flat,KKR,0,166
54,2,5.4,58,Kolkata,Slow,RCB,0,176
79,6,7.9,48,Delhi,Green,RCB,1,158
68,5,6.8,57,Delhi,Flat,SRH,1,195
76,5,7.6,24,Chennai,Turning,MI,1,125
64,5,6.4,44,Bangalore,Turning,CSK,0,116
84,3,8.4,43,Bangalore,Flat,MI,0,192
100,3,10.0,55,Kolkata,Slow,CSK,0,184
90,4,9.0,25,Kolkata,Turning,KKR,0,129
97,3,9.7,25,Kolkata,Green,SRH,0,154
93,1,9.3,28,Bangalore,Turning,RCB,1,167
53,1,5.3,47,Bangalore,Slow,RCB,1,183
54,2,5.4,36,Mumbai,Slow,SRH,0,133
58,1,5.8,39,Chennai,Slow,RCB,1,169
87,3,8.7,41,Delhi,Green,RCB,1,181
70,3,7.0,40,Mumbai,Slow,RCB,1,174
107,4,10.7,35,Bangalore,Slow,RCB,1,190
59,4,5.9,32,Kolkata,Green,DC,0,129
104,5,10.4,33,Delhi,Turning,DC,0,162
97,5,9.7,51,Mumbai,Turning,MI,1,187
64,5,6.4,47,Delhi,Flat,KKR,1,176
96,4,9.6,52,Delhi,Flat,RCB,0,208
76,5,7.6,62,Bangalore,Green,DC,0,174
96,6,9.6,41,Delhi,Flat,CSK,0,176
73,4,7.3,53,Kolkata,Green,KKR,1,162
104,6,10.4,63,Kolkata,Green,RCB,0,199
58,2,5.8,46,Chennai,Flat,DC,0,167
84,2,8.4,49,Mumbai,Slow,RCB,1,186
101,5,10.1,64,Delhi,Turning,CSK,1,180
59,0,5.9,41,Chennai,Green,DC,0,149
67,4,6.7,30,Bangalore,Slow,KKR,0,145
96,5,9.6,31,Mumbai,Slow,KKR,0,165
70,3,7.0,57,Delhi,Slow,CSK,0,162
80,6,8.0,65,Chennai,Flat,SRH,0,189
86,1,8.6,49,Chennai,Turning,DC,1,180
85,4,8.5,44,Kolkata,Slow,SRH,0,156
90,6,9.0,49,Kolkata,Green,DC,1,174
55,5,5.5,28,Bangalore,Flat,MI,1,134
68,2,6.8,64,Mumbai,Slow,KKR,0,193
94,3,9.4,31,Delhi,Green,SRH,0,154
81,1,8.1,31,Bangalore,Slow,SRH,0,175
90,0,9.0,51,Mumbai,Green,KKR,1,205
107,3,10.7,65,Delhi,Slow,MI,0,226
48,6,4.8,34,Bangalore,Flat,RCB,0,143
81,1,8.1,49,Kolkata,Slow,SRH,0,183
59,2,5.9,54,Bangalore,Flat,DC,1,198
72,3,7.2,26,Mumbai,Turning,CSK,1,123
89,6,8.9,25,Delhi,Flat,MI,0,170
89,6,8.9,65,Kolkata,Slow,MI,0,196
71,6,7.1,33,Chennai,Turning,SRH,1,116
66,2,6.6,65,Bangalore,Turning,SRH,1,196
110,5,11.0,26,Mumbai,Slow,CSK,1,178
61,5,6.1,28,Mumbai,Green,DC,1,125
76,6,7.6,63,Delhi,Slow,MI,1,182
98,3,9.8,48,Chennai,Flat,KKR,1,224
92,3,9.2,51,Bangalore,Flat,DC,0,222
103,5,10.3,62,Bangalore,Flat,SRH,1,223
99,6,9.9,33,Delhi,Turning,RCB,1,151
61,4,6.1,51,Bangalore,Flat,CSK,0,183
103,0,10.3,27,Mumbai,Slow,KKR,0,204
99,1,9.9,64,Mumbai,Turning,MI,1,211
91,2,9.1,25,Bangalore,Green,CSK,1,166
84,5,8.4,64,Mumbai,Slow,DC,0,191
57,0,5.7,33,Delhi,Flat,MI,0,176
101,0,10.1,20,Bangalore,Flat,KKR,0,205
54,1,5.4,44,Chennai,Flat,CSK,1,172
83,1,8.3,44,Mumbai,Green,CSK,0,181
66,3,6.6,42,Mumbai,Green,KKR,1,165
72,0,7.2,26,Mumbai,Flat,SRH,1,177
99,2,9.9,28,Mumbai,Turning,DC,0,152
81,6,8.1,64,Chennai,Turning,MI,0,172
95,2,9.5,61,Chennai,Green,KKR,1,195
75,3,7.5,60,Kolkata,Flat,SRH,0,198
85,1,8.5,44,Kolkata,Slow,RCB,0,199
105,6,10.5,24,Chennai,Flat,CSK,1,162
50,0,5.0,45,Kolkata,Turning,DC,1,144
96,0,9.6,60,Kolkata,Green,RCB,0,217
55,4,5.5,33,Mumbai,Turning,KKR,0,108
100,5,10.0,35,Chennai,Green,CSK,1,145
103,4,10.3,58,Chennai,Turning,DC,0,173
46,5,4.6,28,Chennai,Green,KKR,1,98
78,1,7.8,43,Mumbai,Turning,DC,0,173
48,2,4.8,47,Bangalore,Flat,RCB,0,182
103,4,10.3,43,Chennai,Slow,SRH,0,170
65,2,6.5,26,Kolkata,Flat,MI,0,147
46,1,4.6,22,Delhi,Turning,KKR,0,97
49,4,4.9,65,Delhi,Green,RCB,0,158
85,2,8.5,24,Kolkata,Turning,CSK,0,128
73,6,7.3,53,Chennai,Slow,CSK,1,164
81,6,8.1,39,Bangalore,Flat,SRH,1,159
92,1,9.2,38,Kolkata,Turning,DC,0,167
92,4,9.2,51,Mumbai,Green,MI,0,196
97,0,9.7,34,Kolkata,Turning,DC,0,189
87,0,8.7,62,Delhi,Turning,CSK,0,204
75,3,7.5,51,Chennai,Green,DC,1,151
50,1,5.0,53,Delhi,Turning,KKR,0,154
57,4,5.7,28,Delhi,Flat,SRH,0,135
61,1,6.1,38,Bangalore,Turning,KKR,1,147
102,2,10.2,34,Chennai,Green,MI,0,164
58,1,5.8,48,Delhi,Turning,KKR,0,154
90,6,9.0,33,Delhi,Turning,KKR,1,152
60,0,6.0,30,Bangalore,Flat,MI,1,173
56,5,5.6,35,Bangalore,Slow,SRH,0,126
83,2,8.3,31,Chennai,Slow,KKR,0,144
104,0,10.4,28,Chennai,Flat,CSK,0,196
70,6,7.0,45,Bangalore,Flat,SRH,1,184
54,0,5.4,24,Mumbai,Slow,MI,0,151
87,0,8.7,22,Delhi,Flat,MI,1,207
95,3,9.5,21,Delhi,Slow,MI,1,150
68,2,6.8,37,Delhi,Green,CSK,0,149
82,3,8.2,46,Kolkata,Slow,CSK,0,161
94,1,9.4,46,Mumbai,Green,DC,0,186
90,3,9.0,54,Delhi,Turning,SRH,1,177
79,1,7.9,21,Bangalore,Green,CSK,1,136
105,4,10.5,42,Kolkata,Green,MI,0,171
75,2,7.5,54,Chennai,Green,SRH,1,168
67,1,6.7,35,Kolkata,Turning,DC,1,158
48,5,4.8,64,Bangalore,Green,SRH,0,155
108,4,10.8,39,Mumbai,Slow,CSK,0,168
74,4,7.4,34,Chennai,Slow,CSK,1,154
70,6,7.0,28,Bangalore,Green,RCB,0,110
63,4,6.3,65,Mumbai,Flat,SRH,1,214
54,2,5.4,65,Delhi,Flat,RCB,1,206
62,1,6.2,47,Delhi,Turning,MI,1,154
67,3,6.7,39,Bangalore,Green,MI,0,165
95,6,9.5,56,Chennai,Green,SRH,1,185
73,5,7.3,56,Chennai,Slow,MI,1,175
54,1,5.4,42,Bangalore,Green,DC,0,158
87,3,8.7,20,Bangalore,Green,MI,0,141
77,6,7.7,26,Chennai,Flat,KKR,1,157
98,1,9.8,46,Delhi,Slow,RCB,1,200
106,6,10.6,56,Mumbai,Green,KKR,0,198
49,2,4.9,21,Bangalore,Turning,CSK,0,99
66,3,6.6,30,Chennai,Flat,RCB,1,175
48,3,4.8,61,Mumbai,Slow,MI,0,150
87,1,8.7,32,Delhi,Turning,DC,1,156
75,0,7.5,23,Delhi,Slow,MI,0,151
45,3,4.5,25,Bangalore,Slow,MI,0,100
71,1,7.1,60,Bangalore,Flat,KKR,0,215
95,3,9.5,51,Bangalore,Flat,DC,1,212
92,3,9.2,43,Mumbai,Slow,CSK,1,181
104,2,10.4,34,Bangalore,Flat,MI,0,203
89,6,8.9,54,Delhi,Green,SRH,0,172
94,6,9.4,53,Delhi,Slow,SRH,0,170
83,0,8.3,45,Chennai,Green,CSK,1,173
66,1,6.6,32,Mumbai,Flat,KKR,0,183
100,1,10.0,60,Mumbai,Turning,RCB,0,206
94,4,9.4,45,Kolkata,Turning,RCB,1,191
46,6,4.6,64,Kolkata,Slow,CSK,1,131
63,4,6.3,57,Kolkata,Flat,CSK,0,192
81,6,8.1,54,Bangalore,Slow,RCB,1,185
107,4,10.7,58,Delhi,Flat,MI,1,235
63,4,6.3,58,Delhi,Flat,KKR,1,199
75,0,7.5,50,Bangalore,Turning,CSK,1,196
83,2,8.3,37,Delhi,Flat,MI,0,188
101,6,10.1,40,Bangalore,Slow,SRH,0,156
101,1,10.1,46,Delhi,Turning,CSK,0,177
84,5,8.4,52,Delhi,Green,SRH,0,150
69,6,6.9,32,Chennai,Green,CSK,1,102
91,5,9.1,32,Bangalore,Turning,KKR,1,156
60,5,6.0,21,Mumbai,Turning,KKR,1,93
105,4,10.5,55,Bangalore,Turning,MI,1,210
56,2,5.6,21,Delhi,Flat,MI,0,158
